id_sim,Class,Measure,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,equit,ret_idx,100,73,78.11,107.7918,76.532178,101.7877967,80.41235942,70.76287629,55.19504351,39.18848089,32.13455433,29.88513553,25.70121655,15.93475426,14.97866901,14.67909563,13.65155893,14.47065247,12.58946765,15.73683456,15.42209787,9.715921658,6.509667511,5.012443983,3.10771527,2.051092078,2.789485226,2.845274931,2.418483691,1.451090215,1.668753747,1.535253447,1.612016119,1.370213701,1.603150031,2.164252541,2.012754864,1.388800856,1.013824625,0.608294775,0.54138235,0.600934408,0.516803591,0.506467519,0.567243621,0.402742971,0.447044698,0.607980789,0.796454834,0.740702996,0.570341307,0.798477829,0.93421906,0.672637723,0.578468442,0.607391864,0.577022271,0.375064476,0.277547712,0.36636298,0.457953725,0.279351772,0.173198099,0.239013377,0.315497657,0.375442212,0.416740855,0.495921618,0.342185916,0.372982649,0.283466813,0.306144158,0.205116586,0.272805059,0.341006324,0.228474237,0.198772586,0.238527104,0.221830206,0.157499446,0.19057433,0.21916048,0.234501713,0.260296902,0.213443459,0.232653371,0.258245242,0.322806552,0.242104914,0.181578686,0.168868178,0.216151267,0.1534674,0.09975381,0.122697186,0.153371483,0.095090319,0.104599351,0.117151273,0.106607659,0.074625361
1,equit,ret_idx,100,74,48.1,48.581,64.12692,86.571342,87.43705542,63.82905046,70.2119555,58.27592307,64.6862746,54.33647067,76.07105893,61.61755774,51.14257292,68.53104772,61.67794294,45.64167778,35.14409189,43.93011486,61.06285966,64.11600264,75.65688312,80.95286493,61.52417735,58.44796848,68.96860281,86.90043954,109.4945538,124.8237914,97.36255726,135.3339546,128.5672569,141.4239825,183.8511773,159.9505243,209.5351868,284.967854,356.2098175,391.8307993,289.9547915,316.0507227,331.8532588,331.8532588,222.3416834,148.9689279,175.7833349,156.4471681,142.3669229,103.9278537,96.65290398,128.5483623,96.41127172,64.59555206,40.04924227,30.43742413,20.08869992,23.70466591,26.78627248,20.08970436,12.25471966,10.6616061,9.168981249,7.518564624,5.187809591,5.343443879,5.503747195,5.118484891,5.272039438,7.328134819,9.160168524,8.793761783,9.673137961,11.51103417,16.0003375,14.24030038,17.65797247,21.54272641,13.35649037,8.147459128,6.925340259,4.986244986,5.634456834,5.409078561,6.16634956,7.831263941,6.734886989,7.947166647,8.821354978,8.380287229,5.698595316,5.014763878,6.368750125,8.470437666,11.6044996,9.515689674,7.041610359,6.971194255,8.713992819,8.278293178,7.533246792
2,equit,ret_idx,100,89,105.91,141.9194,184.49522,243.5336904,153.426225,211.7281904,254.0738285,182.9331565,219.5197878,243.6669645,285.0903485,379.1701635,401.9203733,389.8627621,265.1066782,172.3193408,170.5961474,221.7749917,157.4602441,114.9459782,139.0846336,107.0951679,125.3013464,114.0242252,117.444952,122.1427501,163.6712851,126.0268895,163.8349564,175.3034033,205.1049819,186.6455335,141.8506055,163.1281963,127.2399931,117.0607937,85.45437937,77.76348523,82.42929434,95.61798143,73.6258457,91.29604867,75.7757204,85.62656405,64.21992304,53.30253612,68.7602716,96.26438024,79.8994356,100.6732889,91.61269285,66.87726578,54.83935794,42.22630562,49.82704063,36.87201006,23.22936634,18.81578674,13.54736645,15.57947142,18.07218684,18.61435245,24.75708876,18.81538746,12.23000185,14.43140218,11.2564937,14.52087687,13.35920672,13.22561465,8.596649526,8.33875004,6.25406253,4.440384396,4.173961332,3.005252159,3.726512678,3.018475269,1.962008925,1.628467408,2.231000348,2.922610456,3.214871502,4.243630383,4.583120813,4.262302356,3.750826074,5.176139981,5.124378582,4.04825908,2.590885811,2.098617507,2.035658982,2.564930317,1.692854009,1.642068389,2.036164802,1.812186674,1.522236806
3,equit,ret_idx,100,112,91.84,123.0656,156.293312,106.2794522,69.0816439,73.22654254,83.47825849,108.521736,87.90260619,95.81384075,117.8510241,154.3848416,209.9633846,270.8527661,341.2744853,443.6568309,266.1940985,178.350046,133.7625345,156.5021654,183.1075335,249.0262456,293.8509697,179.2490915,163.1166733,101.1323375,118.3248348,112.4085931,129.269882,170.6362443,230.3589298,308.6809659,321.0282046,301.7665123,259.5192006,316.6134247,272.2875452,174.2640289,142.8965037,108.6013428,130.3216114,157.6891498,214.4572437,274.505272,337.6414845,428.8046854,351.619842,267.2310799,264.5587691,309.5337599,188.8155935,160.4932545,216.6658936,225.3325293,299.692264,269.7230376,196.8978174,131.9215377,117.4101685,113.8878635,118.443378,140.9476198,153.6329056,152.0965766,179.4739604,109.4791158,99.62599539,99.62599539,86.67461599,78.87390055,68.62029348,91.95119326,100.2268007,93.21092461,56.85866401,43.78117129,31.96025504,29.72303719,22.29227789,21.62350955,16.21763217,20.27204021,23.31284624,27.04290164,22.17517934,21.50992396,12.90595438,10.97006122,8.008144691,11.05123967,8.619966945,8.102768929,9.480239647,7.963401303,7.88376729,8.120280309,10.6375672,10.31844019,8.77067416
4,equit,ret_idx,100,122,140.3,126.27,94.7025,131.636475,123.7382865,141.0616466,152.3465783,124.9241942,142.4135814,193.6824707,127.8304307,148.2832996,154.2146316,195.8525821,242.8572018,211.2857656,217.6243386,289.4403703,301.0179851,319.0790642,350.9869706,449.2633224,521.145454,370.0132723,377.4135378,252.8670703,247.8097289,220.5506587,277.89383,322.3568428,315.9097059,353.8188706,336.1279271,221.8444319,259.5579853,220.6242875,251.5116878,218.8151684,242.8848369,221.0252016,271.8609979,165.8352087,160.8601525,115.8193098,132.0340131,146.5577546,140.6954444,181.4971233,114.3431877,100.6220051,113.7028658,94.37337863,89.6547097,76.20650324,52.58248724,71.51218264,48.6282842,32.58095041,35.51323595,44.03641258,28.62366818,39.78689876,27.05509116,17.85636016,20.35625059,27.27737579,31.0962084,25.80985297,33.55280886,39.59231446,32.861621,24.31759954,17.99502366,21.41407815,17.13126252,13.36238477,13.62963246,8.995557426,8.995557426,6.386845773,3.895975921,4.908929661,4.368947398,5.985457935,7.182549522,5.674214123,4.993308428,5.093174597,6.009946024,6.731139547,6.327271174,5.82108948,6.985307376,4.680155942,4.773759061,3.866744839,3.596072701,4.9266196,3.6949647
5,equit,ret_idx,100,76,60.04,65.4436,90.966604,70.95395112,73.08256965,87.69908358,84.19112024,101.8712555,116.1332313,126.5852221,124.0535176,122.8129825,78.60030877,94.32037053,77.34270383,53.36646564,48.56348374,67.01760756,78.41060084,89.38808496,115.3106296,71.49259035,70.06273854,46.24140744,61.03865782,39.064741,46.09639438,58.54242087,75.51972292,104.2172176,71.90988016,68.31438616,95.64014062,85.11972515,51.92303234,57.6345659,79.53570094,91.46605608,81.40478991,109.0824185,134.1713747,115.3873823,140.7726064,159.0730452,117.7140534,104.7655076,118.3850236,132.5912264,108.7248056,141.3422473,120.1409102,121.3423193,84.93962353,80.69264235,82.3064952,56.79148169,74.39684101,52.07778871,37.49600787,31.87160669,43.98281723,41.3438482,35.14227097,36.89938451,29.15051377,22.73740074,15.23405849,15.38639908,15.84799105,11.25207365,10.01434555,11.11592356,11.33824203,8.163534259,10.85750056,10.31462554,13.61530571,14.56837711,16.89931745,12.50549491,9.003956335,9.184035461,12.30660752,13.78340042,11.30238834,11.30238834,7.346552424,5.730310891,4.584248713,5.592783429,5.313144258,3.50667521,4.628811278,6.017454661,7.702341966,8.395552743,7.052264304,7.969058663,10.67853861
6,equit,ret_idx,100,90,72,91.44,117.0432,115.872768,100.8093082,114.9226113,141.3548119,149.8361006,175.3082377,208.6168029,277.4603478,319.0794,255.26352,237.3950736,273.0043347,379.4760252,265.6332176,363.9175081,429.4226596,455.1880192,277.6646917,341.5275708,239.0692996,248.6320715,208.8509401,279.8602597,243.478426,262.9567,365.509813,398.4056962,410.3578671,385.7363951,289.3022963,225.6557911,171.4984013,174.9283693,176.677653,213.7799601,151.7837717,210.9794426,200.4304705,164.3529858,111.7600303,112.8776306,135.4531568,146.2894093,121.4202097,110.4923909,69.61020624,67.52190005,54.01752004,52.93716964,69.87706393,65.68444009,40.06750846,45.67695964,58.46650834,74.25246559,88.36043405,112.2177512,94.26291105,71.6398124,50.14786868,65.69370797,41.38703602,25.65996233,19.50157137,24.96201136,24.21315102,27.60299216,28.155052,23.65024368,24.83275586,19.61787713,14.71340785,12.80066483,14.08073131,12.67265818,8.110501236,7.299451112,9.927253513,8.14034788,7.082102656,5.382398019,4.198270454,4.114305045,2.592012179,2.592012179,2.021769499,1.556762514,1.821412142,1.274988499,0.777742985,0.738855835,0.554141877,0.338026545,0.371829199,0.438758455,0.368557102
7,equit,ret_idx,100,62,62,40.3,36.27,38.8089,47.734947,32.93711343,22.72660827,16.81769012,10.25879097,7.591505319,5.389968776,4.743172523,4.07912837,5.262075597,3.946556698,5.327851542,6.713092943,8.055711532,6.847354802,8.148352215,5.459395984,7.315590618,5.706160682,6.27677675,5.398028005,5.721909686,4.176994071,4.051684248,3.889616879,3.383966684,4.466836023,3.662805539,3.076756653,2.369102623,2.534939806,2.889831379,3.265509458,3.853301161,5.047824521,3.886824881,3.692483637,3.470934619,4.408086966,4.319925227,4.017530461,4.298757593,3.69693153,2.994514539,3.204130557,3.236171863,3.656874205,2.742655654,1.810152731,1.556731349,1.69683717,1.052039046,1.357130369,1.384272976,1.411958436,1.115447164,0.736195128,0.728833177,1.013078116,1.083993584,1.463391339,0.90730263,0.762134209,0.937425077,1.124910093,1.304895708,1.135259266,1.305548156,1.579713268,2.006235851,1.825674624,1.624850415,1.413619861,1.088487293,1.458572973,0.962658162,1.097430305,1.503479518,1.698931855,1.121295024,0.672777015,0.92843228,0.807736084,1.098521074,0.670097855,0.757210576,1.052522701,1.010421793,1.091255536,1.069430426,1.251233598,0.788277167,0.874987655,0.953736544,1.287544334
8,equit,ret_idx,100,95,94.05,70.5375,85.350375,117.7835175,93.04897883,77.23065242,67.19066761,75.9254544,53.90707262,71.15733586,62.61845556,81.40399223,100.9409504,70.65866525,91.85626483,59.70657214,39.40633761,54.3807459,34.25986992,32.54687642,24.41015732,28.80398563,28.51594578,22.24243771,30.47213966,41.13738854,53.88997899,73.29037142,54.96777857,42.87486728,58.3098195,62.97460506,56.67714456,73.11351648,96.50984175,73.34747973,68.21315615,45.70281462,56.21446198,65.2087759,48.25449417,34.26069086,34.94590468,27.25780565,19.35304201,14.32125109,17.47192633,20.79159233,15.80161017,15.01152966,9.30714839,11.35472104,13.62566524,18.12213477,21.38411903,29.93776664,31.13527731,27.71039681,27.71039681,24.38514919,28.77447604,24.17055988,24.89567667,17.9248872,24.73634434,21.52061958,20.87500099,19.20500091,14.97990071,14.38070468,8.628422809,9.750117774,9.360113063,8.89210741,10.22592352,7.669442641,6.519026245,8.800685431,11.00085679,13.75107099,13.33853886,13.47192424,12.25945106,14.34355774,11.90515293,10.11937999,11.03012419,11.14042543,9.692170123,12.79366456,16.50382729,16.50382729,14.68840628,12.77891347,13.80122654,9.660858581,6.376166664,5.547264997,4.770647898
9,equit,ret_idx,100,83,87.98,86.2204,120.70856,103.8093616,108.9998297,101.3698416,105.4246353,124.4010696,164.2094119,103.4519295,135.5220276,84.02365713,81.50294742,98.61856638,108.480423,130.1765076,126.2712124,156.5763034,129.9583318,79.27458239,90.37302393,96.6991356,60.92045543,54.21920533,37.95344373,28.84461724,19.90278589,14.92708942,9.105524546,8.650248319,12.11034765,11.50483026,7.363091369,9.57201878,11.86930329,8.545898367,8.204062432,8.368143681,9.707046669,13.49279487,11.73873154,14.55602711,11.79038196,11.67247814,8.871083384,10.37916756,11.72845934,7.388929385,5.837254214,4.377940661,4.77195532,6.537578789,3.922547273,2.510430255,2.033448506,1.667427775,2.15098183,2.043432739,1.532574554,1.348665607,0.903605957,0.650596289,0.605054549,0.556650185,0.567783189,0.357703409,0.436398159,0.597865478,0.532100275,0.723656374,0.463140079,0.393669067,0.413352521,0.351349643,0.414592578,0.331674063,0.354891247,0.454260796,0.395206893,0.446583789,0.424254599,0.271522944,0.371986433,0.427784398,0.278059858,0.344794225,0.244803899,0.225219587,0.186932258,0.24675058,0.286230673,0.197499164,0.235024005,0.263226886,0.357988565,0.336509251,0.201905551,0.12114333,0.138103397
